from,to,weight
A3,CS,6
AP,OP,6
ART,AA2,4
ART,GR,6
ART,LH,6
ART,NH,6
ART3,AA2,6
ART3,CL,6
ART3,EO,6
ART3,GR,6
ART3,LH,6
ART3,NH,6
CGP,IH,4
CR,PG,2
DAMS,AA2,4
DAMS,PG,2
FDA,CL,6
FDA,OB,6
HGP,IH,4
HGP,LL,4
HGP3,IH,6
HGP3,LL,6
IR,GB,6
JM3,YT,6
MCL,GB,4
MCL,LH,6
MCL,LN,6
MGP,AA,6
MGP,EO,6
MGP,GR,6
MP,FC,6
MP3,FC,4
PR,AA,6
PR,CL,6
PR,OB,6
PR,OP,6
PR,PG,2
PR3,OB,6
PR3,OP,6
RBR,AA2,6
RBR,CS,6
RBR,IH,6
RBR,LL,6
RBR,MV,6
RBR,PG,6
RBR,YT,6
RC,LL,4
RC,LN,6
RC,YT,6
RC3,LN,6
SA,GB,4
TR3,GB,6
U,FA,1
U,LS,1
U,NH,1
VAR3,FC,4
VAR3,MV,6
WDA,FC,6
